id,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,correta,explicacao,dificuldade,tags
H2M-006,Hemorragias da 2ª Metada de Gestação,Vasa prévia diagnosticada no pré-natal. Conduta recomendada:,Indução com 37 semanas,Parto cesárea com 34 semanas,Amniotomia precoce ao entrar em trabalho de parto,Parto vaginal com monitorização contínua,Aguardar até 40 semanas,B,Vasa prévia: indicar cesárea antes do trabalho de parto (≈34s).,3,"vasa prévia,conduta,cesárea"
H2M-007,Hemorragias da 2ª Metada de Gestação,Qual fator NÃO aumenta o risco de placenta prévia?,Idade materna avançada,Cicatriz de cesárea prévia,Endometrite prévia,Multiparidade,Miomectomia prévia,C,Endometrite isolada não é risco clássico para placenta prévia.,3,"placenta prévia,fatores de risco"
H2M-008,Hemorragias da 2ª Metada de Gestação,"No DPP, qual complicação materna pode ocorrer por infiltração sanguínea miometrial?",Síndrome de Moebius,Útero de Couvelaire,Síndrome de Sheehan,Rotura de vasa prévia,Inversão uterina,B,Útero de Couvelaire é apoplexia uterina por infiltração sanguínea.,4,"DPP,complicações,Couvelaire"
H2M-009,Hemorragias da 2ª Metada de Gestação,Placenta prévia: toque vaginal na admissão é:,Indicado para avaliar dilatação,Seguro se com luvas estéreis,Contraindicado pelo risco de hemorragia,Indiferente para manejo,Obrigatório com especular,C,Toque aumenta risco de sangramento maciço em placenta prévia.,2,"placenta prévia,diagnóstico,segurança"
H2M-010,Hemorragias da 2ª Metada de Gestação,"Em placenta increta/percreta, qual conduta muitas vezes necessária?",Remoção manual da placenta e alta,Curetagem vigorosa,Histerectomia,Uso de misoprostol em altas doses,Observação expectante,C,Increta/percreta frequentemente requer histerectomia para controle.,3,"acretismo,histerectomia,conduta"
ISO-001,Isoimunização Materno-Fetal,Condição necessária para ocorrer isoimunização materno-fetal pelo sistema Rh:,Presença de IgM anti-D materna,Passagem de IgG anti-D materna pela placenta,Feto Rh negativo,Mãe Rh positiva e feto Rh negativo,Incompatibilidade ABO isolada,B,IgG atravessa placenta e causa hemólise fetal quando mãe sensibilizada.,3,"Rh,IgG,imunologia"
ISO-002,Isoimunização Materno-Fetal,"Na gestante Rh(-) não sensibilizada, a profilaxia com imunoglobulina anti-D é indicada:",Apenas após o parto se RN Rh(+),Entre 28 semanas e até 72h após eventos de risco/parto,Somente se Coombs indireto positivo,Apenas em abortos acima de 12 semanas,Somente em gestação gemelar,B,Profilaxia antenatal (≈28s) e pós-evento (até 72h) previne sensibilização.,2,"profilaxia,anti-D,gestação"
ISO-003,Isoimunização Materno-Fetal,Marcador doppler mais sensível para anemia fetal por isoimunização:,Índice de resistência da artéria umbilical,Pico sistólico da artéria cerebral média (ACM),Índice de pulsatilidade da artéria uterina,Fluxo no ducto venoso,Perfil biofísico fetal,B,"Velocidade sistólica máxima da ACM >1,5 MoM sugere anemia moderada a grave.",4,"Doppler,ACM,anemia fetal"
ISO-004,Isoimunização Materno-Fetal,Padrão de cardiotocografia associado à isoimunização Rh grave:,Acelerações frequentes,Padrão sinusoidal,Variabilidade acentuada,DIPs precoces isoladas,FCF basal 110–160 com variabilidade moderada,B,Padrão sinusoidal pode ocorrer em anemia fetal importante.,3,"CTG,sinusoidal,anemia"
ISO-005,Isoimunização Materno-Fetal,Coombs indireto positivo e título de anti-D elevado. Próximo passo no seguimento fetal:,Aguardar parto com 37 semanas,Doppler de ACM seriado,Prova de Pose,Amnioscopia seriada,Interromper gestação imediatamente,B,Doppler de ACM monitora anemia fetal e guia intervenções.,3,"seguimento,ACM,conduta"
ISO-006,Isoimunização Materno-Fetal,Confirmação de anemia fetal moderada/grave pelo Doppler de ACM. Conduta antes da viabilidade:,Transfusão intrauterina por cordocentese,Antibiótico materno,Corticoterapia isolada,Expectante até 34 semanas,Plasmaferese materna,A,Cordocentese permite confirmar hematócrito e transfundir.,4,"cordocentese,transfusão,tratamento"
ISO-007,Isoimunização Materno-Fetal,Qual alternativa está CORRETA sobre anti-Kell?,Causa mais hemólise que anti-D,Age nos precursores eritroides e suprime eritropoese,Não atravessa a placenta,Não se associa a anemia fetal,É irrelevante na gestação,B,"Anti-Kell pode inibir eritropoese fetal, gerando anemia grave.",4,"anticorpos irregulares,Kell"
ISO-008,Isoimunização Materno-Fetal,"Sobre hidropsia fetal por isoimunização, assinale a correta:",Sempre reversível após uma transfusão,Decorre de hipovolemia por vasoconstrição generalizada,Envolve extravasamento capilar e ICC fetal,Não cursa com ascite,Não altera fluxo na ACM,C,"Anemia grave leva a ICC, hipoproteinemia e extravasamento (hidropsia).",4,"hidropsia,anemia,ICC"
ISO-009,Isoimunização Materno-Fetal,"No parto de gestante com isoimunização, qual cuidado é apropriado?",Evitar coleta de sangue de cordão,Transfundir RN com sangue O- se anemia grave,Contraindicar amamentação,Realizar amniotomia precoce,Proibir analgesia neuraxial,B,RN anêmico pode necessitar transfusão com sangue compatível O-.,2,"parto,neonato,transfusão"
ISO-010,Isoimunização Materno-Fetal,Situação em que a profilaxia anti-D NÃO é útil:,Mãe Rh(-) sensibilizada (Coombs indireto já positivo),Aborto com 10 semanas,Esvaziamento de mola,Gestação ectópica,Parto de RN Rh(+),A,"Se já sensibilizada, anti-D não previne mais a resposta imune.",2,"profilaxia,limitações,anti-D"
SFA-001,Sofrimento Fetal Agudo e Crônico,"Na cardiotocografia intraparto, qual critério define Categoria III (NICHD)?",Variabilidade moderada com acelerações,Variabilidade ausente com desacelerações tardias recorrentes,DIP precoce recorrente com FCF normal,Acelerações esporádicas,Linha de base 120 bpm com tônus uterino normal,B,Categoria III inclui variabilidade ausente com DIPs tardias/variáveis recorrentes ou bradicardia/padrão sinusoidal.,4,"CTG,NICHD,categoria III"
SFA-002,Sofrimento Fetal Agudo e Crônico,Desaceleração tardia (DIP II) reflete principalmente:,Compressão de polo cefálico,Compressão de cordão umbilical,Insuficiência útero-placentária,Movimentos fetais,Artefato de monitor,C,DIP tardia decorre de hipoxemia por insuficiência útero-placentária.,3,"CTG,hipóxia,tardia"
SFA-003,Sofrimento Fetal Agudo e Crônico,Primeira medida em prolapso de cordão com BCF presente:,Realizar toque repetidamente,Manter posição supina,Empurrar a apresentação para aliviar compressão e preparar cesárea,Amniotomia,Iniciar ocitocina,C,Descompressão manual imediata e cesárea de emergência.,4,"acidente de cordão,prolapso,conduta"
SFA-004,Sofrimento Fetal Agudo e Crônico,Hipersistolia/taquissistolia por ocitocina cursa com:,Aumento do fluxo no espaço intervilositário,Redução do fluxo no espaço intervilositário e risco de hipóxia,Nenhuma alteração hemodinâmica,Diminuição de contrações,Aumento da variabilidade fetal,B,Contrações excessivas reduzem perfusão placentária.,3,"ocitocina,taquissistolia,perfusão"
SFA-005,Sofrimento Fetal Agudo e Crônico,Padrão sinusoidal na CTG sugere:,Anemia fetal importante,Sono fetal fisiológico,Compressão de cordão leve,Compressão de polo cefálico,Artefato,A,Padrão sinusoidal é associado a anemia fetal (ex.: isoimunização).,3,"CTG,sinusoidal,anemia"
SFA-006,Sofrimento Fetal Agudo e Crônico,"Em sofrimento fetal agudo sem resposta a medidas iniciais, a conduta obstétrica é:",Observação expectante por 2 horas,Aguardar reversão espontânea,Interrupção imediata da gestação (geralmente cesárea),Prova de Pose,Alta hospitalar,C,Persistência de sinais graves exige resolução imediata.,4,"conduta,cesárea,emergência"
SFA-007,Sofrimento Fetal Agudo e Crônico,"Na RCIU por insuficiência placentária, sequência clássica da Dopplerfluxometria:",Centralização → diástole zero/reversa → alteração ducto venoso,Alteração ducto venoso → centralização → diástole zero,Diástole reversa → normalização → centralização,Diástole zero → melhora espontânea,Sem alterações sequenciais,A,"Começa com redução diastólica, depois centralização e por fim ducto venoso.",4,"RCIU,Doppler,sequência"
SFA-008,Sofrimento Fetal Agudo e Crônico,Diástole reversa na artéria umbilical implica:,Seguimento semanal,Alta por baixo risco,Indicação de parto (se viável),Uso de tocolítico,Restrição hídrica materna,C,Diástole reversa é marcador grave e indica parto conforme viabilidade.,4,"umbilical,diástole reversa,parto"
SFA-009,Sofrimento Fetal Agudo e Crônico,"Perfil biofísico fetal normal inclui, entre outros parâmetros:",Ausência de movimentos respiratórios,2 acelerações em 30 min na CTG,ILA ausente,Tônus sem extensão/flexão,Nenhum movimento corporal,B,Reatividade (2 acelerações de 15x15) compõe o PBF (simplificado).,2,"PBF,CTG,reações"
SFA-010,Sofrimento Fetal Agudo e Crônico,"No pós-datismo verdadeiro (>42s), uma complicação fetal/placentária importante é:",Aumento da função placentária,Hipertireoidismo fetal,Perda progressiva da função placentária e risco de SFA crônico,Polidrâmnio universal,Melhora do ganho ponderal fetal,C,Pós-datismo associa-se à falência placentária progressiva.,2,"pós-datismo,placenta,SFC"
INF-001,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Gestante com VDRL reagente e FTA-ABS positivo no 1º trimestre. Conduta adequada:,Aguardar 2º trimestre para tratar,Benzatina penicilina G na dose adequada para o estágio clínico,Doxiciclina por 14 dias,Azitromicina dose única,Não tratar se assintomática,B,Penicilina benzatina é o tratamento de escolha para sífilis na gestação.,3,"sífilis,tratamento,penicilina"
INF-002,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Gestante HBsAg positiva. Qual medida reduz transmissão vertical?,Evitar amamentação,Tenofovir sempre no 1º trimestre,Imunoprofilaxia do RN com vacina e imunoglobulina anti-HBs em até 12h,Cesárea eletiva em todas,Suspender amamentação por 6 meses,C,Imunização ativa + passiva do RN nas primeiras horas reduz transmissão.,3,"hepatite B,profilaxia,neonato"
INF-003,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB","Sorologia: IgM anti-Toxoplasma negativa, IgG positiva alta e estável. Interpretação:",Infecção aguda recente,Infecção crônica/imunidade prévia,Falso-positivo,Necessidade de repetir IgM em 48h,Necessidade de biologia molecular,B,IgG positiva e estável com IgM negativa sugere imunidade prévia.,2,"toxoplasmose,sorologia,interpretação"
INF-004,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB","IG 35 semanas, rastreio com SWAB vaginal/retal positivo para Streptococcus do grupo B. Conduta intraparto:","Nenhuma, apenas observar",Amoxicilina oral profilática,Profilaxia intravenosa com penicilina cristalina/ampicilina na admissão,Ceftriaxona IM dose única,Vacinação materna,C,Antibioticoprofilaxia intraparto reduz sepse neonatal precoce por EGB.,2,"EGB,profilaxia,intraparto"
INF-005,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Gestante com suspeita de toxoplasmose aguda no 1º trimestre. Tratamento preferencial:,Espiramicina,Sulfadiazina + pirimetamina + ácido folínico,Azitromicina,Clindamicina,Doxiciclina,A,Espiramicina reduz transmissão placentária no início da gestação.,3,"toxoplasmose,tratamento,espiramicina"
INF-006,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Sífilis na gestação tratada há 2 semanas; parceiro NÃO tratado. Conduta:,Sem necessidade de ação,Repetir penicilina na gestante após tratar parceiro ou orientar abstinência/uso de preservativo,Trocar para ceftriaxona,Apenas controle sorológico em 6 meses,Indicar cesárea,B,Risco de reinfecção; tratar/parceiro em paralelo e manter proteção até cura.,3,"sífilis,parceiro,reinfeccão"
INF-007,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB","HBsAg positivo e HBeAg positivo, carga viral muito alta no 3º trimestre. Além da profilaxia neonatal, considerar:",Lamivudina por 14 dias,Tenofovir a partir do 3º trimestre,Ribavirina,Interferon alfa,Apenas cesárea eletiva,B,Tenofovir pode ser indicado no 3º trimestre para reduzir viremia e transmissão.,4,"hepatite B,tenofovir,transmissão vertical"
INF-008,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB","Em relação ao Streptococcus do grupo B, qual alternativa é CORRETA?",Triagem entre 28–30 semanas,Profilaxia intraparto indicada apenas se febre materna,Triagem entre 35–37 semanas define necessidade de profilaxia,"Se cultura negativa, sempre fazer profilaxia",Cultura positiva não muda conduta,C,Janela 35–37s é recomendada para triagem de EGB.,2,"EGB,triagem,35-37s"
INF-009,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Gestante com VDRL baixo título e FTA-ABS negativo. Conduta:,Tratar como sífilis,Provável falso-positivo; repetir e correlacionar clinicamente,Iniciar doxiciclina,Iniciar ceftriaxona,Avaliar cesárea por segurança,B,VDRL isolado pode ser falso-positivo; confirmar com teste treponêmico.,3,"sífilis,diagnóstico,dúvidas"
INF-010,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Toxoplasmose fetal confirmada (PCR LA positivo). Esquema terapêutico mais indicado à mãe:,Espiramicina isolada até o parto,Sulfadiazina + pirimetamina + ácido folínico em ciclos até o parto,Amoxicilina + clavulanato,Clindamicina isolada,Nenhum tratamento,B,"Na infecção fetal, usa-se esquema tríplice com pirimetamina/sulfadiazina e ácido folínico.",4,"toxoplasmose,fetal,tratamento"
INFERT-001,Infertilidade Conjugal,Infertilidade é definida classicamente como ausência de concepção após:,6 meses de coito regular sem contracepção (qualquer idade),12 meses de coito regular sem contracepção (<35 anos),24 meses em qualquer idade,3 meses em qualquer idade,Apenas com exames alterados,B,Padrão: 12 meses (<35a); 6 meses se ≥35a.,2,"definição,tempo,idade"
INFERT-002,Infertilidade Conjugal,Principal causa feminina de infertilidade em países desenvolvidos:,Insuficiência lútea,Endometriose e fator tubário,Amenorreia hipotalâmica,Hiperprolactinemia,Miomas submucosos,B,Endometriose e dano tubário são causas comuns.,3,"fatores femininos,trompa,endometriose"
INFERT-003,Infertilidade Conjugal,Exame inicial para avaliar obstrução tubária:,Histerossalpingografia,Laparoscopia diagnóstica direta,Ressonância magnética pélvica,US obstétrico,Histeroscopia,A,Histerossalpingografia avalia permeabilidade tubária.,2,"trompas,HSG,screening"
INFERT-004,Infertilidade Conjugal,Oligo-asteno-teratozoospermia grave no espermograma. Conduta com maior taxa de sucesso:,Coito programado,Inseminação intrauterina (IIU),FIV com ICSI,Indução de ovulação isolada,Expectante,C,"Quando fator masculino severo, ICSI oferece melhor chance.",3,"fator masculino,ICSI,FIV"
INFERT-005,Infertilidade Conjugal,Ovários policísticos (SOP) com anovulação crônica. Primeira linha para indução de ovulação:,Clomifeno,Letrozol,Gonadotrofinas elevadas,Metformina isolada,Progesterona cíclica,B,Letrozol é primeira linha em muitas diretrizes atuais.,3,"SOP,anovulação,indução"
INFERT-006,Infertilidade Conjugal,Insuficiência ovariana primária suspeita. Exame mais útil:,Progesterona na fase lútea,FSH elevado e estradiol baixo,LH baixo e estradiol alto,Prolactina elevada,TSH elevado,B,FSH alto e E2 baixo indicam falência ovariana.,3,"insuficiência ovariana,FSH,diagnóstico"
INFERT-007,Infertilidade Conjugal,Fator uterino: qual alteração mais relacionada à infertilidade/abortamento?,Mioma intramural pequeno (<2 cm),Mioma submucoso,Mioma subseroso,Útero didelfo sempre assintomático,Sinequias leves nunca causam infertilidade,B,Mioma submucoso altera cavidade e implantação.,2,"mioma,submucoso,implantação"
INFERT-008,Infertilidade Conjugal,Hipogonadismo hipogonadotrófico (ex.: anorexia). Conduta reprodutiva:,Antagonista de GnRH,Gonadotrofinas exógenas/ bomba de GnRH,Progestagênio contínuo,Danazol,Bromocriptina,B,Reposição de GnRH ou gonadotrofinas induz ovulação.,3,"hipogonadismo,tratamento,ovulação"
INFERT-009,Infertilidade Conjugal,Hipogonadismo hipergonadotrófico (falência gonadal). Chances com inseminação usando óvulos próprios:,Altas,Moderadas,Baixas a nulas,Iguais à população geral,Incalculáveis,C,Falência ovariana primária reduz chance com oócitos próprios; considerar doação de oócitos.,3,"falência ovariana,doação,prognóstico"
INFERT-010,Infertilidade Conjugal,Infertilidade inexplicada após investigação completa. Opção terapêutica inicial comum:,Expectante por 2 anos,Coito programado com indução leve de ovulação,Cirurgia de endometriose obrigatória,ICSI direta,Antibiótico empírico,B,COI + indução leve aumenta taxa de concepção em casos idiopáticos.,2,"inexplicada,coito programado,indução"
TIREO-001,Tireoidopatias na Gestação,Meta de TSH no 1º trimestre em gestante sem doença prévia:,"<0,1 mUI/L","0,1–2,5 mUI/L","2,5–4,0 mUI/L","4,0–10 mUI/L",>10 mUI/L,B,"Limite superior recomendado ~2,5 mUI/L no 1º trimestre.",2,"TSH,1º trimestre,referência"
TIREO-002,Tireoidopatias na Gestação,Hipotireoidismo clínico na gestação. Tratamento de escolha:,Metimazol,Propiltiouracil,Levotiroxina,Iodo radioativo,Apenas observar,C,Levotiroxina repõe hormônio tireoidiano.,2,"hipotireoidismo,tratamento,levotiroxina"
TIREO-003,Tireoidopatias na Gestação,Doença de Graves no 1º trimestre. Anti-tireoidiano preferido:,Metimazol (metamizol),Propiltiouracil (PTU),Levotiroxina,Iodo radioativo,Tiroxina + iodo,B,PTU é preferido no 1º trimestre; metimazol após 1º trimestre.,3,"Graves,PTU,antitireoidiano"
TIREO-004,Tireoidopatias na Gestação,"Gestante com TSH suprimido e T4L discretamente elevado, assintomática, sem histórico de Graves. Conduta:",Iodo radioativo,Metimazol obrigatório,Acompanhar; pode ser efeito do hCG (hipertireoidismo gestacional transitório),Suspender vitaminas,Cirurgia,C,"hCG pode estimular TSH-like, cursando com hipertiroidismo leve transitório.",2,"hCG,hipertireoidismo gestacional,TSH"
TIREO-005,Tireoidopatias na Gestação,Hipotireoidismo materno não tratado associa-se a:,"RCIU, abortamento e prejuízo neurocognitivo fetal",Polidrâmnio universal,Hiperglicemia materna,Hipertensão portal,Aumento universal do peso fetal,A,Hipotireoidismo descontrolado eleva riscos obstétricos e fetais.,3,"riscos,hipotireoidismo,gestação"
TIREO-006,Tireoidopatias na Gestação,Meta terapêutica de TSH no 2º–3º trimestres:,"0,1–2,5 mUI/L","0,2–3,0 mUI/L","0,3–3,0 mUI/L","3,5–5,0 mUI/L",">5,0 mUI/L",C,Faixas de referência sobem levemente nos trimestres seguintes.,2,"TSH,metas,trimestres"
TIREO-007,Tireoidopatias na Gestação,Tireoidite pós-parto: quadro típico inclui:,Hipertireoidismo permanente logo após o parto,Fase transitória hipertireoidismo seguida de hipotireoidismo,Hipotireoidismo grave permanente,Eutireoidismo sustentado,Apenas bócio doloroso com febre,B,Curso bifásico é comum na tireoidite pós-parto.,2,"pós-parto,tireoidite,bifásico"
TIREO-008,Tireoidopatias na Gestação,Anticorpos anti-TPO elevados na gestação associam-se a:,Menor risco de abortamento,Maior risco de abortamento e disfunção tireoidiana,Apenas bócio estético,Hipercalcemia,Hipoglicemia,B,Autoimunidade tireoidiana eleva risco obstétrico.,2,"anti-TPO,risco,aborto"
TIREO-009,Tireoidopatias na Gestação,Metimazol no 1º trimestre está associado a qual risco fetal?,Agenesia renal,"Embriopatia específica (aplasia cutis, atresia coanal)",Cardiopatia universal,Mielomeningocele,Autismo,B,Embriopatia pelo metimazol é preocupação do 1º trimestre.,3,"metimazol,teratogênese,1º trimestre"
TIREO-010,Tireoidopatias na Gestação,Iodo radioativo na gestação:,Seguro no 2º trimestre,Seguro em microdoses,Contraindicado em qualquer trimestre,Indicado apenas no 3º trimestre,Indicado com bloqueio beta-adrenérgico,C,Iodo radioativo é contraindicado na gestação.,2,"iodo radioativo,contraindicação,gestação"
VV-001,Vulvovaginites,"Corrimento branco grumoso, prurido intenso, pH vaginal normal, teste de amina negativo. Diagnóstico provável:",Vaginose bacteriana,Candidíase vulvovaginal,Tricomoníase,Gonorreia,Clamídia,B,"Candidíase: corrimento grumoso, pH normal (<4,5) e amina negativo.",2,"candidíase,clínica,pH"
VV-002,Vulvovaginites,Clínica de vaginose bacteriana típica inclui:,"Corrimento bolhoso verde e pH <4,5","Corrimento homogêneo acinzentado, pH >4,5 e teste de amina positivo",Corrimento espesso branco e prurido intenso,Úlcera dolorosa,Lesões vesiculares,B,"VB: corrimento homogêneo, odor fétido, pH alto, aminas positivas.",2,"vaginose,clínica,amina"
VV-003,Vulvovaginites,Tratamento de primeira linha para vaginose bacteriana na gestação (sintomática):,Metronidazol oral,Metronidazol tópico + ácido bórico,Fluconazol 150 mg VO dose única,Clindamicina tópica apenas,Nistatina oral,A,Metronidazol VO é opção eficaz e segura na gestação sintomática.,2,"vaginose,tratamento,gestação"
VV-004,Vulvovaginites,Tricomoníase: achado típico ao exame e manejo:,pH baixo e ausência de motilidade,"Protozoário móvel em fresco, tratar paciente e parceiro","Coco Gram+ em cadeia, tratar só a paciente",Aminas negativas e não tratar parceiros,Uso de antifúngico tópico,B,Trichomonas: protozoário móvel; tratar ambos os parceiros.,2,"tricomonas,parceiro,tratamento"
VV-005,Vulvovaginites,Recorrência frequente de candidíase. Conduta:,Evitar qualquer antifúngico,Fluconazol semanal por 6 meses (quando fora da gestação),Metronidazol dose única,Clindamicina,Apenas probióticos,B,Supressão com fluconazol semanal reduz recorrência (contraindicado na gestação).,3,"candidíase,recorrente,supressão"
VV-006,Vulvovaginites,VB aumenta risco de qual intercorrência obstétrica?,Pré-eclâmpsia,Parto prematuro e RPMO,Polidrâmnio,DMG,Oligúria,B,VB relaciona-se a RPMO e prematuridade.,3,"vaginose,obstetrícia,prematuro"
VV-007,Vulvovaginites,"Critérios de Amsel para vaginose bacteriana incluem, EXCETO:",Corrimento homogêneo,"pH >4,5",Teste de amina positivo,Clue cells na microscopia,Leucócitos abundantes obrigatórios,E,Leucócitos abundantes não fazem parte dos 4 critérios de Amsel.,3,"amsel,diagnóstico,vaginose"
VV-008,Vulvovaginites,"Em gestante com tricomoníase, esquema preferido:",Metronidazol 2 g VO dose única,Tinidazol + iodo,Fluconazol 150 mg,Ácido bórico,Clindamicina,A,Metronidazol 2 g VO é eficaz e seguro na gestação.,2,"tricomonas,gestante,metronidazol"
VV-009,Vulvovaginites,Candidíase na gestação: melhor opção terapêutica:,Fluconazol 150 mg VO,Azóis tópicos (clotrimazol) por 7 dias,Nistatina oral,Metronidazol,Tinidazol,B,Azóis tópicos por 7 dias são preferíveis na gestação.,2,"candidíase,gestação,tratamento"
