id,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,correta,explicacao,dificuldade,tags
CUR2-011,Hemorragias da 1ª  Metade da Gestação,Assinale a CORRETA sobre mola completa versus parcial:,Completa frequentemente tem feto vivo; parcial em geral não tem vilos,Completa: ausência de embrião; parcial: pode haver embrião/feto e cariótipo triplóide clássico,"Ambas têm cariótipo 46,XX de origem biparental",Parcial tem maior risco de GTN que completa,Nenhuma exige seguimento com β‑hCG,B,"Mola completa: sem embrião (geralmente 46,XX androgênica); parcial: pode ter embrião/feto e é tipicamente triploide. Completa tem maior risco de GTN.",3,"DTG,comparação"
CUR2-012,Hemorragias da 2ª Metada de Gestação,"Sangramento vermelho vivo, indolor, 32–34s, útero macio. Conduta imediata:",Toque vaginal é o melhor exame inicial,US transvaginal com sonda apropriada é segura e mais acurada para avaliar o OI,US transabdominal habitualmente basta; TV é contraindicada,RNM é o método de triagem de escolha,Exame especular é habitualmente não recomendado,B,"Na suspeita de placenta prévia, evita-se toque. A US transvaginal é segura e mais acurada para avaliar a relação placenta‑OI.",3,"placenta prévia,diagnóstico"
CUR2-013,Hemorragias da 2ª Metada de Gestação,Placenta prévia centro-total assintomática a 36+1s. Conduta quanto à via/tempo de parto:,Parto vaginal com indução,Cesárea eletiva por volta de 36–37s,Aguardar até 40s,Preferencialmente se sangrar,Forcipe profilático,B,Centro-total obstrui OI → cesárea programada 36–37s reduz hemorragia.,2,"placenta prévia,via de parto"
CUR2-014,Hemorragias da 2ª Metada de Gestação,"Sobre acretismo placentário (invasão anômala), assinale a CORRETA:",Acreta invade miométrio profundamente até serosa,"Increta fica aderida à decídua, sem invasão",Percreta pode invadir serosa e órgãos adjacentes (ex.: bexiga),Não se associa a placenta prévia ou cicatriz uterina prévia,O diagnóstico é clínico pelo toque,C,Percreta invade serosa/órgãos; risco aumenta com cicatriz e placenta prévia.,3,"acretismo,percreta,bexiga"
CUR2-015,Hemorragias da 2ª Metada de Gestação,"Gestante 38s com dor súbita, sangramento escuro com coágulos, hipertonia uterina e BCF 90 bpm. Melhor conduta:",Expectante até estabilizar,Tocolítico,Interrupção imediata conforme vitalidade fetal (via mais rápida),Alta com repouso,Toque vaginal,C,DPP com sofrimento fetal: estabilizar e indicar resolução imediata pela via mais rápida.,4,"DPP,conduta"
CUR2-016,Hemorragias da 2ª Metada de Gestação,DPP com óbito fetal. Via preferencial de parto e medida adjuvante clássica:,Cesárea e ocitocina,"Vaginal (se condições), amniotomia e correção de coagulopatia",Expectante 72h,Forcipe indicação frequente,Aguardar até 41s,B,Sem benefício fetal; costuma-se preferir via vaginal com amniotomia e correção de coagulopatia.,4,"DPP,feto morto,amniotomia"
CUR2-017,Hemorragias da 2ª Metada de Gestação,"Após RPM com saída de sangue vivo e bradicardia fetal súbita, útero macio. Hipótese e conduta:",DPP; tocolítico,Placenta prévia; alta,Vasa prévia rota; cesárea de urgência,Rotura uterina; analgesia,Acretismo; expectante,C,Vasa prévia: sangramento fetal após RUPT com bradicardia; conduta é cesárea urgente.,4,"vasa prévia,cesárea"
CUR2-018,Isoimunização Materno-Fetal,"Em gestante Rh− sensibilizada com anti-D, o método não invasivo preferido para rastrear anemia fetal é:",Amniocentese para bilirrubina (Liley) de rotina,CTG basal diária,Doppler da artéria cerebral média (pico sistólico),Perfil biofísico isolado,Cordocentese de rotina,C,"ACM Doppler (>1,5 MoM sugere anemia) guia necessidade de cordocentese/transfusão.",4,"ACM,anemia,cordocentese"
CUR2-019,Isoimunização Materno-Fetal,Gestante Rh− não sensibilizada: qual profilaxia rotineira correta?,Anti-D preferencialmente pós-parto,Anti-D por volta de 28s e até 72h após parto/eventos de risco,Anti-D mensal a partir de 12s,Anti-D preferencialmente se feto Rh−,Sem profilaxia,B,"Profilaxia antenatal (~28s) e pós-evento (parto de RN Rh+, procedimentos, sangramentos).",2,"anti-D,profilaxia"
CUR2-020,Isoimunização Materno-Fetal,"Doppler ACM 1,7 MoM a 30s em gestante sensibilizada. Conduta geral:",Alta e retorno em 1 semana,Transfusão intrauterina/planejamento de parto conforme IG e condições,Aguardar até 37s habitualmente,Preferencialmente PBF,Evitar cordocentese,B,"ACM >1,5 MoM sugere anemia moderada/grave → considerar transfusão IU e/ou antecipar parto.",4,"ACM,transfusão,parto"
CUR2-021,Sofrimento Fetal Agudo e Crônico,"Na CTG, qual achado classifica Categoria III (NICHD)?",Variabilidade moderada com DIPs variáveis esporádicas,Variabilidade ausente com DIPs tardias recorrentes e/ou bradicardia sustentada ou padrão sinusoidal,Taquicardia basal isolada,DIPs precoces,Acelerações frequentes,B,"Categoria III: variabilidade ausente com DIPs tardias/variáveis recorrentes, bradicardia sustentada ou sinusoidal.",4,"CTG,NICHD,cat III"
CUR2-022,Sofrimento Fetal Agudo e Crônico,Intraparto com taquissistolia por ocitocina e DIPs tardias. Primeira medida:,Aumentar ocitocina,"Suspender ocitocina e medidas intrauterinas (lateralizar, O2, hidratar)",Amniotomia,Cesárea imediata sem medidas,Toque repetido,B,Primeiro reverter hipoperfusão uteroplacentária: suspender ocitocina e medidas intrauterinas.,3,"taquissistolia,medidas intrauterinas"
CUR2-023,Sofrimento Fetal Agudo e Crônico,RCIU com diástole reversa na AU a 31s. Conduta:,Alta e reavaliar em 2 semanas,Manter até 37s se PBF 8/8,Programar parto considerando corticoterapia/UTI neonatal,Preferencialmente repouso,Prova de Pose,C,"Diástole reversa é marcador de gravidade → programar parto conforme IG, após corticoterapia se indicado.",4,"RCIU,doppler,parto"
CUR2-024,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB","Gestante 10s, VDRL 1:32 e teste treponêmico positivo, sem alergia a penicilina. Conduta:",Azitromicina VO,Benzatina penicilina G conforme estágio (tratar imediatamente),Doxiciclina 14 dias,Aguardar 2º tri,Nenhuma conduta,B,Sífilis na gestação deve ser tratada com penicilina benzatina conforme fase; tratar parceiro e seguir VDRL.,3,"sífilis,tratamento"
CUR2-025,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",HIV em TARV com carga viral 2.400 cópias/mL em 36s. Via de parto:,Parto vaginal habitualmente,Cesárea eletiva programada (carga acima do corte),Cesárea preferencialmente se bolsa rota,Vaginal habitualmente não recomendado,Fórceps profilático,B,"Com CV > 1.000, recomenda-se cesárea programada; < 1.000 pode permitir via vaginal com precauções.",4,"HIV,via de parto"
CUR2-026,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",HBsAg+ com alta carga viral no 3º tri. Qual medida adicional além da imunoprofilaxia neonatal?,Lamivudina curta,Tenofovir a partir de ~28–32s,Preferencialmente cesárea,Interferon na gestação,Adiar vacinação do RN,B,Antiviral (ex.: tenofovir) no 3º tri reduz transmissão vertical; RN deve receber HBIG + vacina nas 12h.,4,"HBV,tenofovir,TV"
CUR2-027,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",IgM positiva e IgG negativa para toxoplasmose no 2º tri. Melhor próximo passo:,Iniciar sulfadiazina+pirimetamina de imediato,Solicitar avididade de IgG; considerar espiramicina e avaliar infecção fetal (PCR LA) conforme evolução,Nada a fazer na gestação,Aguardar 3º tri,Interrupção imediata,B,Avididade ajuda a datar; espiramicina reduz TV até confirmar infecção fetal; PCR LA se indicado.,3,"toxoplasmose,avididade,espiramicina"
CUR2-028,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Bacteriúria assintomática na gestação (≥10^5 UFC/mL). Conduta:,Não tratar por ser assintomática,Tratar com antibiótico seguro conforme sensibilidade para reduzir risco de pielonefrite/PP,Preferencialmente hidratação,Aguardar sintomatologia,Nitrofurantoína por 2 dias sem urocultura,B,Tratar bacteriúria assintomática reduz pielonefrite e parto prematuro.,2,"ITU,bacteriúria assintomática"
CUR2-029,Infertilidade Conjugal,"Casal <35 anos, 12 meses de coito regular sem concepção. Avaliação inicial OBRIGATÓRIA inclui:",Ressonância pélvica,Espermatograma e avaliação ovulatória,Histeroscopia para todas,Laparoscopia diagnóstica de rotina,Teste pós-coito,B,Triagem básica: espermograma e avaliação de ovulação; investigar trompas com HSG conforme caso.,2,"infertilidade,triagem"
CUR2-030,Infertilidade Conjugal,Anovulação crônica (ex.: SOP) com desejo reprodutivo. Opção de primeira linha para indução ovulatória:,Clomifeno/letrozol,Cabergolina,Progesterona contínua,Danazol,GnRH contínuo,A,Clomifeno/letrozol são de primeira linha; associar medidas de estilo de vida.,2,"SOP,indução ovulatória"
CUR2-031,Infertilidade Conjugal,Fator tubário suspeito. Exame inicial mais utilizado para avaliação de permeabilidade tubária:,RM pélvica,Histerossalpingografia (HSG),US transvaginal simples,Culdoscopia,CA-125,B,HSG é método inicial para avaliar permeabilidade das trompas.,2,"fator tubário,HSG"
CUR2-032,Tireoidopatias na Gestação,"Hipotireoidismo clínico no 1º tri (TSH alto, T4L baixo). Conduta típica:",Metimazol,Propiltiouracil,"Levotiroxina ajustando dose para meta de TSH ~0,1–2,5",Preferencialmente observar,Iodo radioativo,C,Tratar com levotiroxina e metas mais baixas no 1º tri; monitorar TSH/T4L.,3,"hipotireoidismo,levotiroxina"
CUR2-033,Tireoidopatias na Gestação,Hipertireoidismo confirmado no 1º trimestre. Manejo farmacológico preferido:,Metimazol durante todo 1º tri,PTU no 1º tri e considerar troca para metimazol no 2º/3º,Iodo radioativo,Suspender tratamento,Preferencialmente betabloqueador,B,PTU preferido no 1º tri (menor teratogenicidade); considerar troca para metimazol após 1º tri.,3,"hipertireoidismo,PTU,metimazol"
CUR2-034,Tireoidopatias na Gestação,Mulher no pós-parto com fase inicial de tireotoxicose seguida de hipotireoidismo e recuperação. Diagnóstico provável:,Doença de Graves,Tireoidite pós-parto,Adenoma tóxico,Tireoidite de Hashimoto fulminante,Crise tireotóxica,B,Curso bifásico de tireoidite pós-parto: fase tireotóxica transitória seguida de hipotireoidismo.,2,tireoidite pós-parto
CUR2-035,Vulvovaginites,"Corrimento homogêneo acinzentado, odor fétido pós-coito, pH > 4,5, clue cells. Tratamento na gestação sintomática:",Fluconazol VO,Metronidazol VO 500 mg 12/12h 7 dias (ou alternativas seguras),Azitromicina,Clindamicina IM,Nistatina VO,B,Vaginose bacteriana: metronidazol VO é opção segura/eficaz em gestantes sintomáticas.,2,"VB,metronidazol,gestante"
CUR2-036,Vulvovaginites,"Prurido vaginal intenso, corrimento espesso grumoso, pH normal, pseudohifas. Tratamento na gestação:",Fluconazol oral dose única,Antifúngico tópico (clotrimazol/miconazol) intravaginal,Metronidazol oral,Antibiótico de amplo espectro,Preferencialmente higiene,B,"Na gestação, preferir antifúngicos tópicos; evitar azólicos sistêmicos.",2,"candidíase,gestação,trt tópico"
CUR2-037,Vulvovaginites,"Corrimento amarelo-esverdeado, bolhoso, colpite em framboesa, pH elevado. Tratamento na gestação:",Doxiciclina,Metronidazol 2 g VO dose única (ou 500 mg 12/12h 7 dias) e tratar parceiro,Fluconazol,Preferencialmente higiene,Clindamicina intramuscular,B,Tricomoníase: metronidazol e tratar parceiro sexual.,2,"tricomoníase,tratamento,parceiro"
CUR2-038,Sofrimento Fetal Agudo e Crônico,Desacelerações tardias recorrentes com variabilidade mínima após medidas intrauterinas. Próximo passo:,Continuar ocitocina,Prolongar observação por 12h,Considerar resolução do parto (via mais rápida),Amniotomia indicação frequente,Alta — avaliar contexto clínico,C,Persistência de hipóxia/comprometimento apesar de medidas → indicar desfecho.,4,"CTG,tardias,conduta"
CUR2-039,Sofrimento Fetal Agudo e Crônico,Avaliação de gestação de alto risco com RCIU: a sequência de piora dopplervel mais preocupante é:,Umbilical normal → ducto venoso reverso → ACM elevada → AU ausente,ACM elevada → AU ausente/reversa → ducto venoso alterado,Ducto venoso alterado → AU ausente → ACM baixa,ACM baixa → AU ausente → ducto venoso normal,Tudo igual — considerando diretrizes vigentes,B,"Na RCIU, há centralização (ACM elevada), depois piora na AU (ausência/ reversa) e por fim ducto venoso.",4,"RCIU,doppler,progressão"
CUR2-040,Hemorragias da 2ª Metada de Gestação,"Entre as complicações clássicas do DPP, está(ão):",Preferencialmente coagulopatia,Útero de Couvelaire e coagulopatia; risco de CIVD e Sheehan,Preferencialmente rotura uterina,Nenhuma complicação hemorrágica,Preferencialmente laceração cervical,B,"DPP grave pode cursar com coagulopatia/consumo, útero de Couvelaire e risco de necrose hipofisária (Sheehan).",4,"DPP,coagulopatia,Couvelaire,Sheehan"
CUR2-041,Hemorragias da 1ª  Metade da Gestação,"Paciente 7s, β-hCG 2.100 mUI/mL e US transvaginal mostra útero vazio. Conduta mais apropriada:",Repetir β-hCG em 48h e/ou US seriada para confirmar evolução antes de intervir,Diagnosticar ectópica e operar imediatamente,Metotrexato indicação frequente,Aspiração uterina ambulatorial,Alta definitiva sem seguimento,A,"Com β-hCG próximo/abaixo da zona discriminatória e US sem SG, repetir β-hCG/US para diferenciar IG incerta, ectópica inicial ou aborto.",3,"β-hCG,zona discriminatória,ectópica"
CUR2-042,Hemorragias da 1ª  Metade da Gestação,"Sobre aborto inevitável, assinale a característica típica:",Colo fechado e BCF presente,"Colo pérvio com sangramento e dor, sem eliminação completa dos produtos",US sem restos ovulares após sangramento,Febre e odor fétido,Ausência de BCF em controles seriados sem sangramento,B,"Aborto inevitável: colo dilatado + sangramento/dor, ainda sem eliminação completa dos produtos.",2,"aborto inevitável,colo pérvio"
CUR2-043,Hemorragias da 1ª  Metade da Gestação,"Após AMIU por aborto incompleto, qual sinal indica necessidade de reavaliação precoce?",Sangramento discreto por 24–48h,Dor tipo cólica leve controlada com analgésico,"Febre, dor pélvica progressiva ou sangramento fétido",Leucocitose isolada em 10.000,Amenorreia por 2 semanas,C,Sinais infecciosos/sangramento fétido sugerem complicação (restos infectados) e exigem reavaliação.,2,"pós-AMIU,complicações"
CUR2-044,Hemorragias da 1ª  Metade da Gestação,"Na doença trofoblástica gestacional, um critério de suspeita de neoplasia gestacional (GTN) pós-AMIU é:",Queda sustentada do β-hCG a zero,Elevação ou platô do β-hCG em dosagens seriadas,Amenorreia prolongada com β-hCG indetectável,US pélvica normal,Sangramento ausente,B,GTN: elevação/platô do β-hCG em seguimento pós-esvaziamento exige investigação/tratamento.,4,"DTG,GTN,β-hCG"
CUR2-045,Hemorragias da 2ª Metada de Gestação,"Placenta baixa (low-lying) com borda a 15 mm do OI em 32s, assintomática. Conduta:",Toque para avaliar dilatação,US transvaginal seriada; expectativa de migração; evitar toque,Induzir parto,Corticoterapia e cesárea imediata,Alta definitiva sem seguimento,B,Placenta de inserção baixa pode migrar; acompanhamento com US TV e evitar toque.,2,"placenta baixa,US TV,conduta"
CUR2-046,Hemorragias da 2ª Metada de Gestação,Maior fator de risco para acretismo placentário (placenta acreta/increta/percreta):,Primigesta sem cicatriz,Cicatriz de cesárea prévia associada a placenta prévia atual,Mioma submucoso,Curetagem no passado distante,Uso de DIU prévio,B,A combinação cesárea prévia + placenta prévia aumenta fortemente o risco de acretismo.,3,"acretismo,fator de risco,cesárea prévia"
CUR2-047,Hemorragias da 2ª Metada de Gestação,DPP suspeita: exame auxiliar mais útil para confirmar rapidamente o diagnóstico:,US habitualmente confirma; DPP é ultrassonográfico,Não há exame que exclua DPP; é diagnóstico clínico e a US pode ser normal,RNM urgente é padrão‑ouro,Prova de Kleihauer confirma em minutos,CTG normal exclui DPP,B,"DPP é essencialmente clínico; a US pode ser normal. Exames complementam, mas não excluem o quadro.",3,"DPP,diagnóstico clínico"
CUR2-048,Hemorragias da 2ª Metada de Gestação,"Na DPP grave, qual alteração laboratorial sugere consumo de fatores de coagulação:",Fibrinogênio elevado,Fibrinogênio baixo e TP/TTPa prolongados,Plaquetas altas,D-dímero ausente,Hemoglobina aumentada,B,Hipofibrinogenemia e coagulopatia de consumo são típicas nas DPPs extensas.,3,"DPP,coagulopatia,fibrinogênio"
CUR2-049,Hemorragias da 2ª Metada de Gestação,"Sangramento indolor no 3º tri, útero macio, feto reativo. Conduta inicial correta:",Toque vaginal,Especular e US TV para afastar placenta prévia,Amniotomia,Indução com ocitocina,Alta imediata,B,Evitar toque digital e avaliar com US TV; exame especular é seguro.,2,"placenta prévia,exame especular"
CUR2-050,Hemorragias da 2ª Metada de Gestação,Vasa prévia: melhor método **pré-natal** de rastreio/diagnóstico:,US obstétrica sem Doppler; o Doppler atrapalha,US transvaginal com Doppler colorido evidenciando vasos sobre o OI,Teste de Apt pré‑natal,Toque vaginal com amnioscopia,Cardiotocografia de repouso,B,"O Doppler colorido em US TV identifica vasos sobre o OI, método de escolha para vasa prévia.",3,"vasa prévia,Doppler colorido"
CUR2-051,Hemorragias da 2ª Metada de Gestação,"Placenta prévia com sangramento ativo a 33s, hemodinamicamente estável. Conduta inicial:","Expectante hospitalar com corticoide, evitar toque, vigilância",Indução com ocitocina e amniotomia,Alta domiciliar sem corticoide,Toque digital para estratificar sangramento,Cesárea imediata em todas as pacientes,A,"Estável e pré‑termo: conduta expectante, corticoterapia e vigilância; evitar toque digital.",3,"placenta prévia,corticoterapia,expectante"
CUR2-052,Hemorragias da 2ª Metada de Gestação,DPP leve com feto vivo e estável a 35s. Conduta:,Alta e retorno em uma semana,Interrupção do parto (geralmente via vaginal se factível),Aguardar até 40s,Amniotomia contraindicada habitualmente,Preferencialmente analgesia,B,DPP em fim de gestação indica interrupção; via depende do quadro e progresso.,3,"DPP,interrupção,vaginal"
CUR2-053,Isoimunização Materno-Fetal,Coombs indireto (CI) negativo no 1º tri em gestante Rh− sem eventos. Melhor conduta:,Repetir preferencialmente no parto,Repetir CI trimestralmente e aplicar anti-D profilático por volta de 28s,Indicar cordocentese,Evitar nova coleta,Fazer parto aos 34s,B,Rastreamento seriado e profilaxia de rotina ao redor de 28s.,2,"Coombs indireto,profilaxia"
CUR2-054,Isoimunização Materno-Fetal,"Evento com risco de hemorragia feto-materna (ex.: trauma, amniocentese) em gestante Rh− não sensibilizada. Conduta:",Aguardar parto para anti-D,Administrar imunoglobulina anti-D em até 72h,Fazer preferencialmente PBF,Avaliar preferencialmente com CTG,Sem necessidade de ação,B,Anti-D após eventos de risco reduz sensibilização.,2,"anti-D,eventos risco"
CUR2-055,Isoimunização Materno-Fetal,"Em gestante sensibilizada, a utilidade do teste de DNA fetal livre materno (cffDNA) para RhD é:",Confirmar anemia fetal,Determinar genótipo RhD fetal evitando procedimentos invasivos,Definir dose de anti-D,Indicar cesárea,Sem utilidade,B,CffDNA pode identificar RhD fetal e orientar seguimento.,3,"cffDNA,RhD fetal"
CUR2-056,Isoimunização Materno-Fetal,Valor de referência do Doppler ACM que sugere anemia fetal moderada a grave:,"< 1,0 MoM","≈ 1,5 MoM ou maior","2,5 DP abaixo do normal",Preferencialmente PBF alterado,Qualquer aumento já é grave,B,"PSV ACM ≥1,5 MoM correlaciona com anemia significativa.",3,"ACM,PSV,anemia"
CUR2-057,Isoimunização Materno-Fetal,CI (título) crítico em vigilância por isoimunização geralmente acende alerta por volta de:,1:2,1:8–1:16 (varia por laboratório/serviço),1:128 habitualmente,1:256 em todos,Não há títulos,B,Títulos críticos mais comuns giram em 1:8–1:16; variar conforme serviço.,3,"título crítico,Coombs indireto"
CUR2-058,Isoimunização Materno-Fetal,"Em anemia fetal confirmada, terapia de escolha intraútero:",Transfusão intraperitoneal,Transfusão intravascular por cordocentese,Corticoterapia materna,Amnioinfusão,Aguardar até termo,B,Transfusão intravascular é padrão em anemia moderada/grave.,4,"transfusão intrauterina,cordocentese"
CUR2-059,Isoimunização Materno-Fetal,"Indicativo de interrupção da gestação por isoimunização, de forma geral:","ACM persistentemente <1,0 MoM","ACM ≥1,5 MoM perto da viabilidade avançada, sinais de hidropsia, falha terapêutica",CI negativo,Ausência de anticorpos anti-D,TPHA positivo,B,Gravidade (ACM alto/hidropsia) e maturidade orientam antecipação do parto.,3,"parto,gravidade,ACM"
CUR2-060,Isoimunização Materno-Fetal,"Puerpério imediato de puérpera Rh− com RN Rh+. Além da vacinação do RN, considerar:",Anti-D materno em até 72h e avaliação de FMH para dose,Anti-D não é necessário,Interferon,Transfusão materna,Corticoterapia materna,A,Anti-D materno pós-parto e teste de FMH (Kleihauer) para ajustar dose se necessário.,2,"pós-parto,anti-D,Kleihauer"
CUR2-061,Isoimunização Materno-Fetal,"ABO incompatibilidade materno-fetal (mãe O, feto A/B) protege contra isoimunização Rh principalmente porque:",Bloqueia passagem de IgG,"Promove hemólise precoce de hemácias fetais que entram na mãe, reduzindo sensibilização anti-D",Aumenta títulos de anti-D,Induz tolerância,Sem relação,B,Hemólise rápida por ABO pode reduzir sensibilização anti-D.,3,"ABO,proteção,anti-D"
CUR2-062,Isoimunização Materno-Fetal,Qual NÃO é indicação rotineira de profilaxia anti-D na gestação Rh− não sensibilizada?,Sangramento no 2º/3º trimestre,Procedimentos invasivos (ex.: amniocentese),Trauma abdominal,Rinite alérgica,Versão cefálica externa,D,Rinite alérgica não tem relação; os demais eventos requerem anti-D.,2,"profilaxia,anti-D,indicações"
CUR2-063,Isoimunização Materno-Fetal,"Durante vigilância com ACM seriado, a periodicidade típica quando próxima do limiar é:",Anual,Semanal,Diária,Mensal,A cada 12 semanas,B,Medições semanais são comuns quando valores aproximam o limiar.,2,"ACM,periodicidade"
CUR2-064,Isoimunização Materno-Fetal,Pai RhD heterozigoto; mãe Rh− não sensibilizada. Estratégia para reduzir procedimentos invasivos:,Cordocentese precoce,Determinar RhD fetal por cffDNA,Parto antecipado,Nenhuma ação,Anti-D profilático diário,B,Genotipagem fetal não invasiva evita procedimentos desnecessários.,3,"RhD fetal,cffDNA"
CUR2-065,Sofrimento Fetal Agudo e Crônico,Desacelerações variáveis recorrentes com líquido escasso e cordão comprimido. Medida intraparto útil:,Aumentar ocitocina,Amnioinfusão,Toque repetitivo,Nitroprussiato,Betametasona,B,Amnioinfusão pode reduzir variáveis por alívio de compressão de cordão.,3,"variáveis,amnioinfusão"
CUR2-066,Sofrimento Fetal Agudo e Crônico,Prova de Pose (teste de contrações) é considerada positiva quando:,Há acelerações com todas as contrações,Há DIPs tardias recorrentes em ≥ 50% das contrações,Há DIPs precoces isoladas,Não há contrações,Variabilidade moderada,B,DIPs tardias ≥50% das contrações indicam comprometimento.,3,"CST,prova de pose,positiva"
CUR2-067,Sofrimento Fetal Agudo e Crônico,Mecanismo de defesa fetal inicial frente à hipóxia crônica:,Aumento do débito para pele,Centralização: aumento do fluxo cerebral (ACM) e redução periférica,Taquipneia fetal sustentada,Aumento imediato do tônus,Elevação da FCF basal persistente,B,Centralização prioriza encéfalo e coração (doppler ACM elevado).,2,"centralização,RCIU"
